"ID","Player","Team","Position","RkOv","Status","Age","Opponent","FPts","FP/G","Ros"
"*02f9l*","Nathan MacKinnon","COL","C","1","Mac","29","","488.9","6.19","99%"
"*02b70*","Nikita Kucherov","TBL","RW","2","MJ","32","","475.9","6.1","98%"
"*03d12*","David Pastrnak","BOS","RW","3","MJ","29","BOS 3<br/>@BUF 6 F","459.4","5.6","98%"
"*04kyh*","Brady Tkachuk","OTT","LW","4","HUG","25","CBJ 0<br/>@OTT 4 F","446.3","6.2","99%"
"*04alw*","Cale Makar","COL","D","5","Josh","26","","430","5.37","99%"
"*02yjl*","Leon Draisaitl","EDM","C,LW","6","KAN","29","","430","6.06","99%"
"*02fzm*","Filip Forsberg","NSH","LW","7","HUG","30","MTL 2<br/>@NSH 1 F","424.6","5.18","98%"
"*02noj*","Tom Wilson","WSH","RW","8","HUG","31","WSH 1<br/>@NYI 4 F","423.2","5.22","97%"
"*02o7s*","Connor Hellebuyck","WPG","G","9","Josh","32","","416.8","6.62","99%"
"*03kra*","Kyle Connor","WPG","LW","10","MJ","28","","413.1","5.04","98%"
"*03ra7*","Zach Werenski","CBJ","D","11","MJ","28","CBJ 0<br/>@OTT 4 F","408.7","5.05","99%"
"*02un5*","Sam Reinhart","FLA","RW","12","MJ","29","FLA 1<br/>@DET 2 F","405.7","5.14","100%"
"*042yb*","Brandon Hagel","TBL","LW","13","Mac","26","","399.8","4.88","99%"
"*02azb*","Mark Scheifele","WPG","C","14","Mac","32","","393.7","4.8","100%"
"*00454*","Sidney Crosby","PIT","C","15","Josh","37","PIT 1<br/>@CHI 3 F","390.7","4.88","98%"
"*02b76*","Vincent Trocheck","NYR","C","16","KAN","32","","387.6","4.73","97%"
"*03jxy*","Auston Matthews","TOR","C","17","MPF","27","","386","5.76","99%"
"*03mn9*","Mikko Rantanen","COL/CAR/DAL","C,RW","18","EVB","28","DAL 2<br/>@MIN 3 F","385.6","4.7","99%"
"*03924*","Jack Eichel","VGK","C","19","pothaar","28","VGK 3<br/>@VAN 2 F","380","4.94","98%"
"*031v6*","MacKenzie Weegar","CGY","D","20","Mac","31","","378.7","4.68","97%"
"*03jvu*","Mitch Marner","TOR","RW","21","pothaar","28","","377.8","4.66","99%"
"*04xec*","Matt Boldy","MIN","LW,RW","22","MJ","24","DAL 2<br/>@MIN 3 F","376.3","4.59","99%"
"*02nom*","Andrei Vasilevskiy","TBL","G","23","KAN","31","","375","5.95","98%"
"*04ln4*","Kiefer Sherwood","VAN","LW,RW","24","EVB","30","VGK 3<br/>@VAN 2 F","373.7","4.79","81%"
"*02yjj*","William Nylander","TOR","LW,RW","25","KAN","29","","373.6","4.56","99%"
"*051z0*","Tim Stutzle","OTT","C,LW","26","MPF","23","CBJ 0<br/>@OTT 4 F","372.8","4.55","100%"
"*01f3e*","Nazem Kadri","CGY","C","27","pothaar","34","","372.6","4.54","97%"
"*02un4*","Connor McDavid","EDM","C","28","ZBAD","28","","372.1","5.55","99%"
"*042ye*","Jesper Bratt","NJD","RW","29","Josh","27","","370.8","4.58","99%"
"*03d09*","Alex Tuch","BUF","RW","30","Josh","29","BOS 3<br/>@BUF 6 F","369.3","4.5","98%"
"*03e1n*","Adrian Kempe","LAK","LW,RW","31","MPF","28","","368.2","4.55","99%"
"*04zb4*","Moritz Seider","DET","D","32","MPF","24","FLA 1<br/>@DET 2 F","366","4.46","99%"
"*048xc*","Nick Suzuki","MTL","C","33","MJ","25","MTL 2<br/>@NSH 1 F","365.4","4.46","99%"
"*03mn8*","Clayton Keller","UTA","LW,RW","34","MJ","27","","364.6","4.5","99%"
"*01c12*","John Tavares","TOR","C,LW","35","Josh","34","","363.8","4.85","98%"
"*004cq*","Alex Ovechkin","WSH","LW,RW","36","EVB","39","WSH 1<br/>@NYI 4 F","363","5.58","96%"
"*031p0*","Jake Guentzel","TBL","LW","37","Mac","30","","361.8","4.52","100%"
"*04ad7*","Rasmus Dahlin","BUF","D","38","ZBAD","25","BOS 3<br/>@BUF 6 F","360.2","4.93","98%"
"*02b3o*","Rickard Rakell","PIT","LW,RW","39","HUG","32","PIT 1<br/>@CHI 3 F","359.4","4.44","98%"
"*042t5*","Tage Thompson","BUF","C,RW","40","qstaple","27","BOS 3<br/>@BUF 6 F","358.7","4.72","99%"
"*04f2d*","Drake Batherson","OTT","RW","41","KAN","27","CBJ 0<br/>@OTT 4 F","355.6","4.34","100%"
"*03bfj*","Artemi Panarin","NYR","LW","43","qstaple","33","","355.4","4.44","97%"
"*039cg*","Sam Bennett","FLA","C","42","HUG","29","FLA 1<br/>@DET 2 F","355.4","4.68","94%"
"*02aez*","J.T. Miller","VAN/NYR","C,LW,RW","44","Mac","32","","353.5","4.91","99%"
"*04843*","Mathieu Olivier","CBJ","RW","45","KAN","28","CBJ 0<br/>@OTT 4 F","352.3","4.3","66%"
"*038vb*","Travis Konecny","PHI","RW","46","HUG","28","","351.1","4.28","99%"
"*03ra8*","Timo Meier","NJD","LW,RW","47","EVB","28","","350.8","4.39","98%"
"*049k7*","Martin Necas","CAR/COL","RW","48","pothaar","26","","349.6","4.43","99%"
"*04dwj*","Jason Robertson","DAL","LW","49","EVB","26","DAL 2<br/>@MIN 3 F","349.4","4.26","99%"
"*03v70*","Alex DeBrincat","DET","LW,RW","50","Josh","27","FLA 1<br/>@DET 2 F","348.5","4.25","99%"
"*03rmx*","Sebastian Aho","CAR","C","51","MJ","28","","347.4","4.4","99%"
"*03ne3*","Frank Vatrano","ANA","LW,RW","52","KAN","31","","346.8","4.28","89%"
"*03e1m*","Brayden Point","TBL","C","53","qstaple","29","","344.5","4.47","98%"
"*04ymt*","Lucas Raymond","DET","RW","55","EVB","23","FLA 1<br/>@DET 2 F","342.2","4.17","99%"
"*05gvq*","Seth Jarvis","CAR","RW","54","Mac","23","","342.2","4.69","99%"
"*03duf*","Dylan Larkin","DET","C","56","HUG","29","FLA 1<br/>@DET 2 F","341.4","4.16","99%"
"*04lc0*","Evan Bouchard","EDM","D","57","qstaple","25","","339.6","4.14","99%"
"*05kbn*","Will Cuylle","NYR","LW","58","ZBAD","23","","339.2","4.14","96%"
"*04mv2*","Cole Caufield","MTL","LW,RW","59","pothaar","24","MTL 2<br/>@NSH 1 F","335.8","4.1","99%"
"*03as9*","Dylan Strome","WSH","C","60","HUG","28","WSH 1<br/>@NYI 4 F","334.4","4.08","99%"
"*042vl*","Jordan Kyrou","STL","RW","61","ZBAD","27","","333","4.06","98%"
"*04y4m*","Connor Bedard","CHI","C","62","EVB","20","PIT 1<br/>@CHI 3 F","332.6","4.06","98%"
"*05tur*","Matthew Knies","TOR","LW","63","KAN","22","","331.5","4.25","99%"
"*04mtp*","Dylan Cozens","BUF/OTT","C,RW","64","EVB","24","CBJ 0<br/>@OTT 4 F","331.2","4.04","98%"
"*03dms*","Kevin Fiala","LAK","LW,RW","65","KAN","29","","330.6","4.08","97%"
"*05tqt*","Wyatt Johnston","DAL","C,RW","66","qstaple","22","DAL 2<br/>@MIN 3 F","330.6","4.03","100%"
"*01c13*","Victor Hedman","TBL","D","67","MPF","34","","329.2","4.17","100%"
"*0457f*","Nico Hischier","NJD","C","68","Josh","26","","328.4","4.38","99%"
"*04qy5*","Kirill Marchenko","CBJ","LW,RW","69","KAN","25","CBJ 0<br/>@OTT 4 F","328","4.15","100%"
"*051yz*","Dylan Holloway","STL","LW","70","MPF","23","","327.2","4.25","100%"
"*03zul*","Filip Gustavsson","MIN","G","71","MJ","27","DAL 2<br/>@MIN 3 F","323.4","5.58","99%"
"*02440*","Anders Lee","NYI","LW","72","HUG","35","WSH 1<br/>@NYI 4 F","320.7","3.91","77%"
"*04lbz*","Quinn Hughes","VAN","D","73","Josh","25","VGK 3<br/>@VAN 2 F","320.3","4.71","98%"
"*02nok*","Tomas Hertl","VGK","C,LW","74","Josh","31","VGK 3<br/>@VAN 2 F","319.8","4.38","95%"
"*059e0*","Jake Sanderson","OTT","D","75","EVB","23","CBJ 0<br/>@OTT 4 F","319.4","3.99","99%"
"*05w9c*","Mack Celebrini","SJS","C","76","Mac","19","","317.4","4.53","98%"
"*02un7*","Aleksander Barkov","FLA","C","77","HUG","29","FLA 1<br/>@DET 2 F","316","4.72","98%"
"*03167*","Bo Horvat","NYI","C","78","MPF","30","WSH 1<br/>@NYI 4 F","314.2","3.88","95%"
"*01c32*","Brayden Schenn","STL","C,LW","79","EVB","33","","313.1","3.82","78%"
"*03de2*","Brandon Montour","SEA","D","80","Mac","31","","312","3.85","96%"
"*03wpi*","Pierre-Luc Dubois","WSH","C","81","EVB","27","WSH 1<br/>@NYI 4 F","311.6","3.8","95%"
"*01zvp*","Bryan Rust","PIT","RW","82","Mac","33","PIT 1<br/>@CHI 3 F","311.2","4.38","96%"
"*03eb0*","Ryan Donato","CHI","C,LW,RW","83","MPF","29","PIT 1<br/>@CHI 3 F","311.1","3.89","92%"
"*031p3*","Carter Verhaeghe","FLA","LW","84","Mac","29","FLA 1<br/>@DET 2 F","311","3.84","98%"
"*04bdb*","Jack Hughes","NJD","C,LW","85","ZBAD","24","","310.6","5.01","99%"
"*04o0h*","Dylan Guenther","UTA","RW","86","Josh","22","","308.6","4.41","99%"
"*05r1c*","Juraj Slafkovsky","MTL","LW,RW","87","HUG","21","MTL 2<br/>@NSH 1 F","308.1","3.9","100%"
"*01ex7*","Matt Duchene","DAL","C,RW","88","pothaar","34","DAL 2<br/>@MIN 3 F","307.8","3.75","96%"
"*0457k*","Jake Oettinger","DAL","G","89","Mac","26","DAL 2<br/>@MIN 3 F","305.8","5.27","99%"
"*03161*","Darnell Nurse","EDM","D","90","KAN","30","","305","4.01","86%"
"*02ybn*","Josh Morrissey","WPG","D","91","pothaar","30","","305","3.81","98%"
"*026p4*","Jonathan Huberdeau","CGY","LW,RW","92","pothaar","32","","304.8","3.76","86%"
"*048vf*","Andrei Svechnikov","CAR","LW,RW","93","HUG","25","","303.5","4.22","99%"
"*0322w*","Ilya Sorokin","NYI","G","95","EVB","29","WSH 1<br/>@NYI 4 F","303.4","4.97","98%"
"*01skr*","Mikael Granlund","SJS/DAL","C,RW","94","Josh","33","DAL 2<br/>@MIN 3 F","303.4","3.66","93%"
"*03rf2*","Roope Hintz","DAL","C","96","pothaar","28","DAL 2<br/>@MIN 3 F","302.6","3.98","98%"
"*05ui2*","Logan Cooley","UTA","C","97","qstaple","21","","299.2","3.99","100%"
"*04zo0*","Pavel Dorofeyev","VGK","LW,RW","98","HUG","24","VGK 3<br/>@VAN 2 F","298.2","3.64","97%"
"*0579x*","Adam Fantilli","CBJ","C","99","pothaar","20","CBJ 0<br/>@OTT 4 F","298","3.63","100%"
"*02ni5*","Jonathan Marchessault","NSH","LW,RW","100","FA","34","MTL 2<br/>@NSH 1 F","297.7","3.82","93%"
"*0222k*","Darcy Kuemper","LAK","G","101","ZBAD","35","","297.6","5.95","95%"
"*04apb*","Robert Thomas","STL","C","102","Mac","26","","296.4","4.23","100%"
"*03ece*","Igor Shesterkin","NYR","G","103","ZBAD","29","","295.8","4.85","97%"
"*03yg3*","Mikhail Sergachev","UTA","D","104","MJ","27","","295.2","3.83","97%"
"*059e5*","Jake Neighbours","STL","LW,RW","105","MPF","23","","294.4","3.59","94%"
"*004jl*","Brad Marchand","BOS/FLA","LW","106","MPF","37","FLA 1<br/>@DET 2 F","293.6","4.14","95%"
"*02wy5*","Nikita Zadorov","BOS","D","107","HUG","30","BOS 3<br/>@BUF 6 F","292.9","3.62","58%"
"*05gvo*","Matvei Michkov","PHI","RW","108","EVB","20","","292.8","3.66","99%"
"*02fzj*","Blake Coleman","CGY","LW,RW","109","HUG","33","","292.4","3.57","73%"
"*00qru*","Steven Stamkos","NSH","C,LW,RW","110","MPF","35","MTL 2<br/>@NSH 1 F","292.4","3.57","93%"
"*03rfp*","Sam Montembeault","MTL","G","111","MPF","28","MTL 2<br/>@NSH 1 F","289.4","4.67","98%"
"*03as6*","Jared McCann","SEA","C,LW","112","Josh","29","","288.6","3.52","96%"
"*051wf*","Dustin Wolf","CGY","G","113","Josh","24","","287.8","5.43","100%"
"*01zti*","Tyler Toffoli","SJS","LW,RW","114","MPF","33","","287.6","3.69","87%"
"*01yj6*","Radko Gudas","ANA","D","115","HUG","35","","286.8","3.54","70%"
"*03uzr*","Matthew Tkachuk","FLA","LW,RW","116","Josh","27","FLA 1<br/>@DET 2 F","286.8","5.52","98%"
"*03mbn*","Mackenzie Blackwood","SJS/COL","G","117","KAN","28","","286.2","5.11","98%"
"*04zj5*","JJ Peterka","BUF","LW,RW","118","pothaar","23","BOS 3<br/>@BUF 6 F","285.6","3.71","99%"
"*03yuf*","Eeli Tolvanen","SEA","LW","119","Mac","26","","285.1","3.52","75%"
"*03mqg*","Jakob Chychrun","WSH","D","120","HUG","27","WSH 1<br/>@NYI 4 F","285","3.85","97%"
"*027i6*","Mika Zibanejad","NYR","C,RW","121","EVB","32","","283.2","3.45","95%"
"*04a9v*","Morgan Geekie","BOS","C,LW","122","Josh","27","BOS 3<br/>@BUF 6 F","282.6","3.67","94%"
"*01ud1*","Sergei Bobrovsky","FLA","G","123","pothaar","36","FLA 1<br/>@DET 2 F","282.4","5.23","96%"
"*05wwg*","Lane Hutson","MTL","D","124","KAN","21","MTL 2<br/>@NSH 1 F","282.2","3.44","100%"
